letter,frequency
ا,13.3
ی,8.89
ر,7.95
د,6.3
ن,6.24
ه,5.56
و,5.53
م,4.7
ت,4.57
ب,3.97
س,3.49
ل,2.6
ک,2.53
ش,2.42
ز,1.92
&zwnj;,1.28
ف,1.2
گ,1.13
ع,1.13
خ,1.02
ق,0.976
ج,0.932
،,0.767
آ,0.746
پ,0.719
ح,0.672
ط,0.496
ص,0.443
e,0.38
۱,0.375
a,0.363
i,0.335
چ,0.3
۰,0.272
o,0.27
t,0.262
r,0.261
ث,0.252
n,0.244
۲,0.226
s,0.223
غ,0.2
l,0.197
۳,0.184
۹,0.173
c,0.173
ض,0.162
d,0.159
p,0.158
ٔ,0.147
m,0.147
۵,0.144
۸,0.143
h,0.132
ذ,0.129
u,0.119
ظ,0.117
۴,0.116
۶,0.112
ژ,0.111
۷,0.11
g,0.107
ئ,0.106
ي,0.0953
f,0.0876
w,0.0793
b,0.0792
1,0.0777
0,0.068
2,0.0591
y,0.0586
k,0.0578
v,0.043
3,0.0392
8,0.0334
9,0.0328
ً,0.0295
ك,0.0294
4,0.029
5,0.0288
j,0.0281
x,0.0276
ِ,0.0273
6,0.0255
7,0.0248
٫,0.0226
َ,0.0221
أ,0.0202
؛,0.0168
&rlm;,0.0165
z,0.0148
ُ,0.0133
ء,0.0132
٬,0.0126
ّ,0.0125
ـ,0.0113
q,0.00846
–,0.00803
ة,0.00793
